AC0CON
AC1CON
AC1ECON
AC2CON
AC2ECON
AC3CON
AC3ECON
ACA_AC0CTRL
ACA_AC0MUXCTRL
ACA_AC1CTRL
ACA_AC1MUXCTRL
ACA_CTRLA
ACA_CTRLB
ACA_STATUS
ACA_WINCTRL
ACB_AC0CTRL
ACB_AC0MUXCTRL
ACB_AC1CTRL
ACB_AC1MUXCTRL
ACB_CTRLA
ACB_CTRLB
ACB_STATUS
ACB_WINCTRL
ACSR
ACSRA
ACSRB
ADC
ADCA_CAL
ADCA_CH0RES
ADCA_CH0_CTRL
ADCA_CH0_INTCTRL
ADCA_CH0_INTFLAGS
ADCA_CH0_MUXCTRL
ADCA_CH0_RES
ADCA_CH1RES
ADCA_CH1_CTRL
ADCA_CH1_INTCTRL
ADCA_CH1_INTFLAGS
ADCA_CH1_MUXCTRL
ADCA_CH1_RES
ADCA_CH2RES
ADCA_CH2_CTRL
ADCA_CH2_INTCTRL
ADCA_CH2_INTFLAGS
ADCA_CH2_MUXCTRL
ADCA_CH2_RES
ADCA_CH3RES
ADCA_CH3_CTRL
ADCA_CH3_INTCTRL
ADCA_CH3_INTFLAGS
ADCA_CH3_MUXCTRL
ADCA_CH3_RES
ADCA_CMP
ADCA_CTRLA
ADCA_CTRLB
ADCA_EVCTRL
ADCA_INTFLAGS
ADCA_PRESCALER
ADCA_REFCTRL
ADCA_TEMP
ADCB_CAL
ADCB_CH0RES
ADCB_CH0_CTRL
ADCB_CH0_INTCTRL
ADCB_CH0_INTFLAGS
ADCB_CH0_MUXCTRL
ADCB_CH0_RES
ADCB_CH1RES
ADCB_CH1_CTRL
ADCB_CH1_INTCTRL
ADCB_CH1_INTFLAGS
ADCB_CH1_MUXCTRL
ADCB_CH1_RES
ADCB_CH2RES
ADCB_CH2_CTRL
ADCB_CH2_INTCTRL
ADCB_CH2_INTFLAGS
ADCB_CH2_MUXCTRL
ADCB_CH2_RES
ADCB_CH3RES
ADCB_CH3_CTRL
ADCB_CH3_INTCTRL
ADCB_CH3_INTFLAGS
ADCB_CH3_MUXCTRL
ADCB_CH3_RES
ADCB_CMP
ADCB_CTRLA
ADCB_CTRLB
ADCB_EVCTRL
ADCB_INTFLAGS
ADCB_PRESCALER
ADCB_REFCTRL
ADCB_TEMP
ADCH
ADCL
ADCRA
ADCRB
ADCRC
ADCRD
ADCRE
ADCSR
ADCSRA
ADCSRB
ADCSRC
ADCW
ADCWH
ADCWL
ADIFR
ADIMR
ADMUX
ADRSLT
ADRSLTH
ADRSLTHI
ADRSLTL
ADRSLTLO
ADSCSRA
ADSCSRB
AESACR
AESADDR
AESCR
AESDR
AES_CTRL
AES_INTCTRL
AES_KEY
AES_STATE
AES_STATUS
AGPDDR
AGPPIN
AGPPORT
AMISCR
AMP0CSR
AMP1CSR
AMP2CSR
AMUXCTL
ANT_DIV
ASSR
AVR_CONFIG
AWEXC_CTRL
AWEXC_DTBOTH
AWEXC_DTBOTHBUF
AWEXC_DTHS
AWEXC_DTHSBUF
AWEXC_DTLS
AWEXC_DTLSBUF
AWEXC_FDCTRL
AWEXC_FDEMASK
AWEXC_OUTOVEN
AWEXC_STATUS
AWEXE_CTRL
AWEXE_DTBOTH
AWEXE_DTBOTHBUF
AWEXE_DTHS
AWEXE_DTHSBUF
AWEXE_DTLS
AWEXE_DTLSBUF
AWEXE_FDCTRL
AWEXE_FDEMASK
AWEXE_OUTOVEN
AWEXE_STATUS
BATMON
BGCAL
BGCCR
BGCR
BGCRA
BGCRB
BGCRR
BGCSR
BGCSRA
BGLR
BGPDDR
BGPPIN
BGPPORT
BL_CONFIG
BODCR
BPCHCD
BPCOCD
BPCR
BPDHCD
BPDOCD
BPDUV
BPHCTR
BPIFR
BPIMSK
BPIR
BPOCD
BPOCTR
BPPLR
BPSCD
BPSCTR
BTCNT
BTCR
B_DET
CADAC0
CADAC1
CADAC2
CADAC3
CADCSRA
CADCSRB
CADCSRC
CADIC
CADICH
CADICL
CADRC
CADRCC
CADRCL
CADRCLH
CADRCLL
CADRDC
CANBT1
CANBT2
CANBT3
CANCDMOB
CANEN
CANEN1
CANEN2
CANGCON
CANGIE
CANGIT
CANGSTA
CANHPMOB
CANIDM1
CANIDM2
CANIDM3
CANIDM4
CANIDT1
CANIDT2
CANIDT3
CANIDT4
CANIE
CANIE1
CANIE2
CANMSG
CANPAGE
CANREC
CANSIT
CANSIT1
CANSIT2
CANSTM
CANSTMH
CANSTML
CANSTMOB
CANTCON
CANTEC
CANTIM
CANTIMH
CANTIML
CANTTC
CANTTCH
CANTTCL
CBCR
CBPTR
CBTR1
CBTR2
CBTR3
CCA_THRES
CCFLG
CCISR
CCP
CCSR
CDIVCAN
CEFR
CGPDDR
CGPPIN
CGPPORT
CHGDCSR
CIDAH0
CIDAH1
CIER
CKSEL0
CKSEL1
CKSTA
CLKCSR
CLKMSR
CLKPR
CLKPSR
CLKSEL0
CLKSEL1
CLKSELR
CLKSTA
CLK_CNTR
CLK_CTRL
CLK_LOCK
CLK_PSCTRL
CLK_RTCCTRL
CLK_USBCTRL
CMCR
CMIMR
CMSR
COSDAC
COSDACH
COSDACL
CPU_CCP
CPU_EIND
CPU_RAMPD
CPU_RAMPX
CPU_RAMPY
CPU_RAMPZ
CPU_SPH
CPU_SPL
CPU_SREG
CRAFEN
CRC_CHECKSUM0
CRC_CHECKSUM1
CRC_CHECKSUM2
CRC_CHECKSUM3
CRC_CTRL
CRC_DATAIN
CRC_STATUS
CRXERR
CSMA_BE
CSMA_SEED_0
CSMA_SEED_1
CTARR
CTXERR
CURIRED
CURIRUN
CURRDLY
CVER
DAC
DACA_CH0DATA
DACA_CH0GAINCAL
DACA_CH0OFFSETCAL
DACA_CH1DATA
DACA_CH1GAINCAL
DACA_CH1OFFSETCAL
DACA_CTRLA
DACA_CTRLB
DACA_CTRLC
DACA_EVCTRL
DACA_GAINCAL
DACA_OFFSETCAL
DACA_STATUS
DACA_TIMCTRL
DACB_CH0DATA
DACB_CH0GAINCAL
DACB_CH0OFFSETCAL
DACB_CH1DATA
DACB_CH1GAINCAL
DACB_CH1OFFSETCAL
DACB_CTRLA
DACB_CTRLB
DACB_CTRLC
DACB_EVCTRL
